TimeMS,Acc,qDot
32.41,5.166350119263813,0.4408549169611147
32.411,5.164893318412153,0.44066846254150016
32.412,5.163437133682861,0.4404821132557166
32.413,5.160454743308725,0.44023074840952686
32.414,5.159000650322857,0.4400446917402928
32.415,5.157547171872311,0.43985873990525226
32.416,5.156094307610838,0.4396728928305774
32.417,5.154642057192424,0.43948715044250214
32.418,5.153190420271307,0.43930151266732337
32.419,5.15021515368788,0.43905101410223524
32.42,5.148765600832747,0.43886566761227025
32.421,5.147316659895646,0.4386804254372774
32.422,5.145868330532191,0.43849528750387845
32.423,5.144420612398242,0.4383102537387564
32.424,5.141451405553215,0.43806048611771664
32.425,5.140005764892003,0.4378757425063826
32.426,5.138560733887741,0.43769110276686424
32.427,5.137116312197656,0.43750656682616745
32.428,5.135672499479221,0.43732213461136
32.429,5.134229295390145,0.43713780604957053
32.43,5.131267165132246,0.43688889737770503
32.431,5.1298260309054475,0.4367048576521674
32.432,5.128385503743153,0.436520921284879
32.433,5.126945583304434,0.4363370882032893
32.434,5.12550626924861,0.436153358334909
32.435,5.124067561235231,0.4359697316073098
32.436,5.12111248237262,0.43572167796278444
32.437,5.119675836646679,0.43553833876125725
32.438,5.118239795405979,0.435355102407423
32.439,5.116804358311432,0.4351719688291717
32.44,5.115369525024184,0.4349889379544541
32.441,5.113935295205621,0.4348060097112817
32.442,5.110987242662202,0.434558807194191
32.443,5.109555067591658,0.4343761651742191
32.444,5.108123494440201,0.43419362549437374
32.445,5.106692522870563,0.43401118808298206
32.446,5.105262152545717,0.4338288528684325
32.447,5.103832383128866,0.43364661977917224
32.448,5.100891331943644,0.4334002645113939
32.449,5.09946360977061,0.4332183163497228
32.45,5.098036486963538,0.4330364700235813
32.451,5.0966099631869755,0.4328547254617312
32.452,5.0951840381057,0.43267308259299425
32.453,5.0922489431230975,0.4324274422761443
32.454,5.090825058839963,0.4322460832337644
32.455,5.0894017717166005,0.4320648255961536
32.456,5.087979081419127,0.43188366929244565
32.457,5.086556987613886,0.43170261425183387
32.458,5.085135489967456,0.4315216604035709
32.459,5.082207350181246,0.43127686020060135
32.46,5.080787885893911,0.4310961888964482
32.461,5.079369016237356,0.43091561849793764
32.462,5.077950740879485,0.4307351489346323
32.463,5.076533059488433,0.43055478013615384
32.464,5.0751159717325685,0.4303745120321828
32.465,5.072194762507896,0.430130548126448
32.466,5.070779700706728,0.42995056129146386
32.467,5.069365231020154,0.42977067486590814
32.468,5.067951353117855,0.4295908887797693
32.469,5.066538066669749,0.42941120296309454
32.47,5.065125371345979,0.42923161734598914
32.471,5.062211068160613,0.4289884859420782
32.472,5.060800391421595,0.42880918032591453
32.473,5.059390304293717,0.42862997462585756
32.474,5.057980806448428,0.42845086877231886
32.475,5.0565718975574105,0.4282718626957676
32.476,5.053663469961812,0.42802943384906894
32.477,5.0522565733242475,0.427850706695528
32.478,5.050850264134133,0.42767207903689197
32.479,5.04944454206445,0.4274935508039346
32.48,5.048039406788409,0.4273151219274869
32.481,5.046634857979451,0.4271367923384379
32.482,5.043733291069003,0.42689518900976064
32.483,5.042330747207303,0.4267171370887062
32.484,5.040928788313176,0.4265391841745643
32.485,5.039527414061355,0.42636133019852596
32.486,5.038126624126798,0.42618357509183924
32.487,5.036726418184693,0.4260059187858096
32.488,5.03383168775634,0.4257651372396776
32.489,5.032433479489194,0.425587757353573
32.49,5.031035853722262,0.42541047598922543
32.491,5.029638810132012,0.42523329307824
32.492,5.028242348395142,0.4250562085522791
32.493,5.0268464681885705,0.42487922234306236
32.494,5.023958550149479,0.4246392588647028
32.495,5.022564660379281,0.4244625478342421
32.496,5.021171350654378,0.42428593484320015
32.497,5.019778620652967,0.42410941982359435
32.498,5.018386470053467,0.4239330027074981
32.499,5.016994898534521,0.42375668342704165
32.5,5.014113768901469,0.42351753432225026
32.501,5.012724180613833,0.4233414889862365
32.502,5.011335169928934,0.4231655412101023
32.503,5.00994673652669,0.4229896909262736
32.504,5.008558880087238,0.4228139380672326
32.505,5.007171600290932,0.4226382825655176
32.506,5.004297235189699,0.4223999441605238
32.507,5.0029119314529655,0.42222456137574893
32.508,5.001527202888711,0.4220492756740941
32.509,5.000143049178557,0.4218740869883915
32.51,4.998759470004344,0.42169899525152876
32.511,4.9958908608040975,0.4214613410795796
32.512,4.99450925152704,0.4212865210160004
32.513,4.993128215321418,0.421111797628383
32.514,4.991747751870331,0.4209371708499075
32.515,4.990367860857093,0.4207626406138091
32.516,4.988988541965242,0.42058820685337817
32.517,4.986126653135584,0.42035135662044065
32.518,4.984749297030829,0.4201771933183305
32.519,4.983372511590026,0.42000312622054553
32.52,4.9819962964979565,0.41982915526066616
32.521,4.980620651439625,0.4196552803723282
32.522,4.979245576100247,0.41948150148922225
32.523,4.976390384075888,0.41924545157920456
32.524,4.97501726444635,0.41907194194614206
32.525,4.973644713085364,0.4188985280484944
32.526,4.972272729679391,0.41872520982024036
32.527,4.970901313915104,0.41855198719541314
32.528,4.9695304654794,0.41837886010810105
32.529,4.96668194680174,0.418143606924836
32.53,4.965313047031227,0.4179707478859308
32.531,4.963944713145882,0.4177979841162388
32.532,4.962576944833828,0.4176253155501338
32.533,4.961209741783408,0.4174527421220443
32.534,4.959843103683178,0.41728026376645294
32.535,4.957001234999713,0.4170458037335682
32.536,4.955636538552464,0.4168735922313462
32.537,4.95427240561894,0.41670147553482556
32.538,4.952908835888921,0.4165294535787731
32.539,4.951545829052404,0.41635752629800943
32.54,4.950183384799598,0.41618569362740926
32.541,4.947348142863341,0.4159520231881994
32.542,4.945987633283554,0.41578045618248616
32.543,4.944627684857923,0.41560898352163483
32.544,4.943268297277875,0.4154376051408024
32.545,4.941909470235051,0.41526632097519905
32.546,4.9390798676467975,0.4150333170279211
32.547,4.937722969278013,0.41486229751654075
32.548,4.936366630022858,0.41469137195636585
32.549,4.9350108495741845,0.4145205402828874
32.55,4.933655627625055,0.414349802431649
32.551,4.9323009638687445,0.41417915833824825
32.552,4.929477945021267,0.41394693743851296
32.553,4.928125203018722,0.41377655682292414
32.554,4.926773017792239,0.41360626970262665
32.555,4.925421389036295,0.413436076013496
32.556,4.9240703164455795,0.41326597569146095
32.557,4.922719799714994,0.4130959686725029
32.558,4.919903341660381,0.41286452731912515
32.559,4.918554739795024,0.4126947826080034
32.56,4.917206692379834,0.4125251309388797
32.561,4.915859199110906,0.4123555722480124
32.562,4.914512259684546,0.41218610647171205
32.563,4.913165873797267,0.4120167335463416
32.564,4.910355953690887,0.4117860682573151
32.565,4.909011475811864,0.41161695647619856
32.566,4.907667550068716,0.4114479372863909
32.567,4.906324176159147,0.4112790106245302
32.568,4.9049813537810705,0.4111101764273066
32.569,4.903639082632604,0.41094143463146204
32.57,4.900835677732552,0.4107115419438368
32.571,4.8994953077667525,0.41054306013501574
32.572,4.898155487634076,0.410374670469401
32.573,4.896816217033826,0.410206372884008
32.574,4.895477495665507,0.4100381673159036
32.575,4.894139323228834,0.40987005370220586
32.576,4.891342410895345,0.40964093017196346
32.577,4.890006132846964,0.4094730753943702
32.578,4.888670402340423,0.4093053123144502
32.579,4.887335219076612,0.40913764086959314
32.58,4.8860005827566235,0.40897006099724026
32.581,4.884666493081758,0.4088025726348837
32.582,4.88187605077667,0.40857421483681644
32.583,4.880543848726758,0.40840698416591564
32.584,4.879212191938805,0.408239844749707
32.585,4.877881080115279,0.40807279652595246
32.586,4.8765505129588504,0.4079058394324647
32.587,4.875220490172393,0.4077389734071076
32.588,4.8724364954585795,0.4075113779346969
32.589,4.871108353564605,0.40734476846237705
32.59,4.869780754664045,0.4071782498043036
32.591,4.868453698460934,0.40701182189860813
32.592,4.867127184659511,0.40684548468347226
32.593,4.864348677723246,0.4066185327794585
32.594,4.863024039026293,0.4064524511490344
32.595,4.861699941360171,0.40628645995649987
32.596,4.860376384430273,0.4061205591403029
32.597,4.859053367942198,0.4059547486389417
32.598,4.8577308916017365,0.405789028390965
32.599,4.8549587907415654,0.4055628325418981
32.6,4.853638182830241,0.40539736675168947
32.601,4.852318113702212,0.40523199096359797
32.602,4.850998583064421,0.4050667051164365
32.603,4.849679590624015,0.4049015091490679
32.604,4.848361136088336,0.40473640300040475
32.605,4.845595419153567,0.4045109598525356
32.606,4.84427882640207,0.4043461070408133
32.607,4.842962770197479,0.40418134379792325
32.608,4.841647250248276,0.4040166700630406
32.609,4.840332266263149,0.40385208577539033
32.61,4.839017817950982,0.40368759087424677
32.611,4.836258462889848,0.40346289709205574
32.612,4.834945869747119,0.4032986544131028
32.613,4.833633810925986,0.4031345008721681
32.614,4.832322286136466,0.40297043640878677
32.615,4.831011295088775,0.4028064609625431
32.616,4.829700837493325,0.40264257447307067
32.617,4.826947822352435,0.4024186267391507
32.618,4.825639213341727,0.4022549913631573
32.619,4.824331136438323,0.4020914446968225
32.62,4.823023591353763,0.4019279866800392
32.621,4.821716577799788,0.40176461725274876
32.622,4.8204100954883256,0.4016013363549416
32.623,4.817663398412132,0.40137813136988215
32.624,4.816358758130592,0.40121510048284165
32.625,4.8150546477530165,0.40105215787953896
32.626,4.81375106699246,0.4008893035002213
32.627,4.812448015562174,0.40072653728518526
32.628,4.8111454931756015,0.40056385917477544
32.629,4.808405092405874,0.4003413936570479
32.63,4.807104405524118,0.40017896446065404
32.631,4.805804246353878,0.400016623124499
32.632,4.804504614609711,0.3998543695891829
32.633,4.8032055100063715,0.39969220379535436
32.634,4.801906932258806,0.39953012568371
32.635,4.7991728061340915,0.39930839636955223
32.636,4.797876057395791,0.3991465660810966
32.637,4.796579834187379,0.3989848232317869
32.638,4.795284136224914,0.3988231677625737
32.639,4.793988963224641,0.39866159961445563
32.64,4.792694314903,0.39850011872847885
32.641,4.789966441858107,0.39827912237178253
32.642,4.788673616079568,0.39811788822405264
32.643,4.787381313660057,0.39795674109676626
32.644,4.786089534317116,0.3977956809312219
32.645,4.784798277768478,0.39763470766876585
32.646,4.783507543732068,0.3974738212507916
32.647,4.780785902297539,0.39725355462298956
32.648,4.779496984367293,0.39709291386416806
32.649,4.778208587635915,0.39693235970946267
32.65,4.776920711822425,0.3967718921005172
32.651,4.77563335664603,0.39661151097902286
32.652,4.77434652182613,0.3964512162867182
32.653,4.771631090627729,0.39623167617667227
32.654,4.770346065506124,0.39607162607023766
32.655,4.769061559433866,0.3959116621539502
32.656,4.7677775721314415,0.39575178436979713
32.657,4.766494103319529,0.39559199265981276
32.658,4.765211152718989,0.3954322869660781
32.659,4.76250191047717,0.3952134701799677
32.66,4.761220763195965,0.3950540080045938
32.661,4.759940132825158,0.3948946316077416
32.662,4.758660019086703,0.3947353409317396
32.663,4.757380421702729,0.39457613591896257
32.664,4.754676448384272,0.3943579299076061
32.665,4.75339864883305,0.39419896750484723
32.666,4.752121364340671,0.39404009052870953
32.667,4.750844594630344,0.3938812989218135
32.668,4.749568339425471,0.3937225926268261
32.669,4.748292598449636,0.39356397158646067
32.67,4.745594774704534,0.39334648301846403
32.671,4.7443208252360165,0.3931881035312447
32.672,4.743047388707003,0.39302980906334234
32.673,4.741774464842152,0.3928715995577144
32.674,4.740502053366304,0.39271347495736414
32.675,4.739230154004485,0.39255543520534064
32.676,4.7365384588217445,0.3923386609357941
32.677,4.735268344670264,0.39218086168571425
32.678,4.733998741349357,0.39202314704994706
32.679,4.73272964858511,0.39186551697178407
32.68,4.731461066103802,0.3917079713945629
