ALT-KM,T-DEG-K,T-DEG-C
37.217000000000,435.300000000000,162.150000000000
37.003000000000,437.200000000000,164.050000000000
36.773000000000,439.000000000000,165.850000000000
36.538000000000,440.900000000000,167.750000000000
36.327000000000,442.600000000000,169.450000000000
36.101000000000,444.300000000000,171.150000000000
35.898000000000,446.000000000000,172.850000000000
35.680000000000,447.500000000000,174.350000000000
35.466000000000,449.300000000000,176.150000000000
35.247000000000,451.000000000000,177.850000000000
35.032000000000,452.500000000000,179.350000000000
34.847000000000,454.300000000000,181.150000000000
34.664000000000,455.900000000000,182.750000000000
34.451000000000,457.600000000000,184.450000000000
34.258000000000,459.200000000000,186.050000000000
34.068000000000,460.700000000000,187.550000000000
33.865000000000,462.000000000000,188.850000000000
33.666000000000,463.800000000000,190.650000000000
33.471000000000,465.200000000000,192.050000000000
33.234000000000,466.600000000000,193.450000000000
33.060000000000,468.200000000000,195.050000000000
32.873000000000,469.700000000000,196.550000000000
32.662000000000,471.500000000000,198.350000000000
32.495000000000,472.800000000000,199.650000000000
32.277000000000,474.400000000000,201.250000000000
32.129000000000,475.900000000000,202.750000000000
31.943000000000,477.300000000000,204.150000000000
31.772000000000,479.100000000000,205.950000000000
31.527000000000,480.400000000000,207.250000000000
31.388000000000,481.800000000000,208.650000000000
31.200000000000,483.300000000000,210.150000000000
31.040000000000,484.700000000000,211.550000000000
30.869000000000,486.100000000000,212.950000000000
30.701000000000,487.400000000000,214.250000000000
30.523000000000,488.800000000000,215.650000000000
30.382000000000,490.300000000000,217.150000000000
30.197000000000,491.700000000000,218.550000000000
30.014000000000,493.000000000000,219.850000000000
29.857000000000,494.400000000000,221.250000000000
29.679000000000,495.800000000000,222.650000000000
29.493000000000,497.100000000000,223.950000000000
29.330000000000,498.500000000000,225.350000000000
29.160000000000,499.800000000000,226.650000000000
29.012000000000,500.800000000000,227.650000000000
28.835000000000,502.400000000000,229.250000000000
28.661000000000,503.700000000000,230.550000000000
28.539000000000,505.100000000000,231.950000000000
28.378000000000,506.500000000000,233.350000000000
28.219000000000,507.600000000000,234.450000000000
28.052000000000,509.000000000000,235.850000000000
27.859000000000,510.400000000000,237.250000000000
27.725000000000,511.700000000000,238.550000000000
27.574000000000,512.700000000000,239.550000000000
27.452000000000,514.100000000000,240.950000000000
27.030000000000,517.400000000000,244.250000000000
26.886000000000,518.600000000000,245.450000000000
26.586000000000,521.100000000000,247.950000000000
26.343000000000,523.900000000000,250.750000000000
26.011000000000,526.400000000000,253.250000000000
25.754000000000,528.800000000000,255.650000000000
25.452000000000,531.100000000000,257.950000000000
25.188000000000,533.700000000000,260.550000000000
24.906000000000,536.100000000000,262.950000000000
24.599000000000,538.400000000000,265.250000000000
24.328000000000,540.800000000000,267.650000000000
24.056000000000,543.000000000000,269.850000000000
23.802000000000,545.400000000000,272.250000000000
23.518000000000,547.600000000000,274.450000000000
23.246000000000,549.900000000000,276.750000000000
22.999000000000,552.300000000000,279.150000000000
22.704000000000,554.400000000000,281.250000000000
22.466000000000,556.500000000000,283.350000000000
22.245000000000,558.600000000000,285.450000000000
21.996000000000,560.800000000000,287.650000000000
21.751000000000,562.800000000000,289.650000000000
21.509000000000,565.000000000000,291.850000000000
21.272000000000,567.000000000000,293.850000000000
20.973000000000,569.000000000000,295.850000000000
20.732000000000,571.000000000000,297.850000000000
20.495000000000,572.900000000000,299.750000000000
20.240000000000,574.900000000000,301.750000000000
20.016000000000,576.900000000000,303.750000000000
19.790000000000,578.900000000000,305.750000000000
19.562000000000,580.900000000000,307.750000000000
19.338000000000,582.700000000000,309.550000000000
19.095000000000,584.700000000000,311.550000000000
18.877000000000,586.600000000000,313.450000000000
18.667000000000,588.300000000000,315.150000000000
18.445000000000,590.100000000000,316.950000000000
18.182000000000,591.900000000000,318.750000000000
17.977000000000,593.700000000000,320.550000000000
17.769000000000,595.500000000000,322.350000000000
17.536000000000,597.300000000000,324.150000000000
17.330000000000,599.100000000000,325.950000000000
17.121000000000,601.200000000000,328.050000000000
16.906000000000,602.800000000000,329.650000000000
16.708000000000,604.800000000000,331.650000000000
16.503000000000,606.300000000000,333.150000000000
16.357000000000,608.000000000000,334.850000000000
16.135000000000,609.500000000000,336.350000000000
15.920000000000,611.300000000000,338.150000000000
15.733000000000,612.800000000000,339.650000000000
15.515000000000,614.600000000000,341.450000000000
15.333000000000,616.200000000000,343.050000000000
15.124000000000,617.700000000000,344.550000000000
14.926000000000,619.300000000000,346.150000000000
14.718000000000,621.100000000000,347.950000000000
14.514000000000,622.400000000000,349.250000000000
14.350000000000,624.200000000000,351.050000000000
